Designator,Mid X,Mid Y,Rotation,Layer
C1,14.05,-19.15,180.0,top
C10,34.45,-32.35,90.0,top
C11,37.95,-36.1,270.0,top
C12,39.65,-36.1,270.0,top
C13,41.35,-36.1125,270.0,top
C14,22.8,-37.2625,180.0,top
C15,25.65,-39.8625,90.0,top
C16,19.9,-39.9125,90.0,top
C17,30.7,-40.2875,90.0,top
C18,22.25,-42.4625,180.0,top
C19,32.55,-49.35,180.0,top
C2,16.7,-22.95,270.0,top
C20,20.45,-50.5125,90.0,top
C21,32.55,-51.0,180.0,top
C22,25.45,-51.2625,90.0,top
C23,32.55,-52.7,180.0,top
C24,22.9125,-54.0125,0.0,top
C25,32.55,-54.4,180.0,top
C26,32.55,-56.1,180.0,top
C27,20.1,-56.825,90.0,top
C28,25.15,-57.45,90.0,top
C29,32.55,-57.8,180.0,top
C3,18.5,-22.95,270.0,top
C30,22.6,-60.2875,0.0,top
C31,19.9375,-64.375,90.0,top
C32,25.1875,-64.475,90.0,top
C33,22.5625,-67.3375,0.0,top
C34,27.95,-70.2375,90.0,top
C35,29.55,-71.95,270.0,top
C36,27.95,-73.6625,270.0,top
C37,42.05,-14.9,90.0,bottom
C38,31.85,-17.0,180.0,bottom
C39,28.1625,-17.0,0.0,bottom
C4,42.75,-24.35,0.0,top
C40,39.0,-17.7,180.0,bottom
C41,33.9375,-43.75,180.0,bottom
C42,33.8375,-47.45,180.0,bottom
C5,26.45,-25.6125,270.0,top
C6,42.75,-26.05,0.0,top
C7,42.75,-27.75,0.0,top
C8,33.55,-29.75,0.0,top
C9,36.3,-30.6,90.0,top
D1,17.6,-27.6,0.0,top
D2,28.05,-40.6,90.0,top
D3,13.9875,-49.95,0.0,top
D4,14.0,-53.65,0.0,top
D5,14.0,-57.35,0.0,top
D6,14.0,-61.1,0.0,top
FB1,38.85,-24.35,180.0,top
J1,30.05,-15.7,180.0,top
J3,15.25,-39.45,90.0,top
J4,43.1675,-58.25,90.0,top
J5,43.1675,-68.4,90.0,top
J6,17.45,-73.5,180.0,top
JP1,21.15,-14.1,90.0,bottom
JP2,17.2,-14.1,90.0,bottom
JP3,23.3,-19.9,270.0,bottom
JP4,36.9375,-65.3,0.0,bottom
JP5,36.9375,-66.95,0.0,bottom
JP6,36.9375,-68.6,0.0,bottom
JP7,36.9375,-70.25,0.0,bottom
L1,22.5,-44.3125,180.0,top
L2,40.15,-45.6,90.0,top
L3,18.6,-50.7625,90.0,top
L4,18.3,-57.0875,90.0,top
L5,18.0375,-64.675,90.0,top
NT1,15.25,-31.1,270.0,bottom
Q1,32.25,-63.46,90.0,top
R1,15.55,-13.25,180.0,top
R10,39.0875,-31.55,180.0,top
R11,22.8,-35.55,180.0,top
R12,28.05,-37.0,270.0,top
R13,24.6375,-46.2,180.0,top
R14,27.15,-51.2625,90.0,top
R15,13.9875,-51.65,0.0,top
R16,14.0,-55.35,0.0,top
R17,26.85,-57.4625,90.0,top
R18,14.0,-59.05,0.0,top
R19,14.0,-62.8,0.0,top
R2,15.55,-14.85,0.0,top
R20,26.9875,-64.475,90.0,top
R21,22.8,-70.7375,270.0,top
R22,32.15,-71.05,180.0,top
R23,34.9,-71.95,90.0,top
R24,32.2,-72.85,180.0,top
R25,22.8,-74.55,270.0,top
R26,22.8,-14.1,270.0,bottom
R27,15.5,-14.1,270.0,bottom
R28,25.0,-19.9,90.0,bottom
R29,24.2375,-27.25,180.0,bottom
R3,14.05,-16.8,0.0,top
R30,18.65,-30.05,180.0,bottom
R31,18.65,-31.9,180.0,bottom
R32,37.4875,-43.75,0.0,bottom
R33,37.3875,-47.45,0.0,bottom
R34,35.8,-55.2875,90.0,bottom
R35,37.45,-55.3,90.0,bottom
R36,40.3625,-65.3,180.0,bottom
R37,40.3625,-66.95,180.0,bottom
R38,40.3625,-68.6,180.0,bottom
R39,40.3625,-70.25,180.0,bottom
R4,14.85,-22.95,90.0,top
R5,20.35,-22.95,90.0,top
R6,23.15,-25.6125,90.0,top
R7,24.8,-25.6125,270.0,top
R8,39.0875,-29.7,180.0,top
R9,41.9,-30.6,270.0,top
SW1,45.85,-18.25,90.0,top
U1,19.5,-17.95,0.0,top
U10,38.15,-20.65,270.0,bottom
U2,33.0,-24.35,270.0,top
U3,23.4,-39.85,0.0,top
U4,29.66375,-45.59975,270.0,top
U5,22.95,-51.6625,270.0,top
U6,22.65,-58.0875,270.0,top
U8,22.5875,-65.1375,270.0,top
U9,38.8,-14.85,180.0,bottom
